,Shop_Name,Cuisine,Location,Rating,Cost_for_Two,area_divided
108,The Bowl Company,"Continental, Indian, Pan-Asian, Oriental","Jakkasandra Village, Koramangala",4.3,350, Koramangala
109,Hotel Savitha Family Restaurant,"North Indian, South Indian","4th block, Koramangala",4.0,153, Koramangala
110,Biryani Pot,"North Indian, Biryani","Madiwala Junction, BTM",4.0,500, BTM
111,Bowl 99,"North Indian, South Indian","kormangala, Koramangala",4.4,200, Koramangala
112,Kritunga,"Andhra, Biryani","5th Block, Koramangala",3.9,500, Koramangala
113,Wok Paper Scissors,"Pan-Asian, Chinese, Asian","JNC Road, Koramangala",3.9,219, Koramangala
114,Savoury Restaurant,"Arabian, Middle Eastern, North Indian, Grill, Seafood, Kerala, Chinese","Madiwala, BTM",4.1,600, BTM
115,Royal Treat,"North Indian, Chinese, Seafood, Biryani","5th block Koramangala, Koramangala",4.2,193, Koramangala
116,Thali 99,North Indian,"Koramangala, Koramangala",4.3,200, Koramangala
117,Mani's Dum Biryani,"Andhra, Biryani","1st Block, Koramangala",4.2,400, Koramangala
